box_pos_x,box_pos_y,box_pos_z,change_pos,collisions,energy,pos_x,pos_y,pos_z,t,vel_x,vel_y,vel_z
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,426.466737036556,104.07803207736158,23.00810981837587
4.26466737036556e-09,1.0407803207736157e-09,2.3008109818375869e-10,4.395855862936338e-09,0,6.40930858662031e-21,4.26466737036556e-09,1.0407803207736157e-09,2.3008109818375869e-10,1e-11,426.466737036556,104.07803207736158,23.00810981837587
8.52933474073112e-09,2.0815606415472314e-09,4.6016219636751737e-10,4.395855862936338e-09,0,6.40930858662031e-21,8.52933474073112e-09,2.0815606415472314e-09,4.6016219636751737e-10,2e-11,426.466737036556,104.07803207736158,23.00810981837587
1.279400211109668e-08,3.122340962320847e-09,6.90243294551276e-10,4.395855862936338e-09,0,6.40930858662031e-21,1.279400211109668e-08,3.122340962320847e-09,6.90243294551276e-10,3e-11,426.466737036556,104.07803207736158,23.00810981837587
1.705866948146224e-08,4.163121283094463e-09,9.203243927350347e-10,4.395855862936338e-09,0,6.40930858662031e-21,1.705866948146224e-08,4.163121283094463e-09,9.203243927350347e-10,4e-11,426.466737036556,104.07803207736158,23.00810981837587
2.1323336851827802e-08,5.203901603868078e-09,1.1504054909187935e-09,4.395855862936338e-09,1,6.40930858662031e-21,2.1323336851827802e-08,5.203901603868078e-09,1.1504054909187935e-09,4.9999999999999995e-11,-144.05731355752883,-251.9172844116624,-9.223956674633591
1.9882763716252513e-08,2.6847287597514545e-09,1.0581659241724575e-09,2.9034446636967977e-09,2,2.7960916396412207e-21,1.9882763716252513e-08,2.6847287597514545e-09,1.0581659241724575e-09,6e-11,-175.9814403195918,162.76417096017718,-377.7750346521896
1.8122949313056594e-08,4.312370469353226e-09,-2.719584422349438e-09,4.474099009764702e-09,2,6.639501533923467e-21,1.8122949313056594e-08,4.312370469353226e-09,-2.719584422349438e-09,6.999999999999999e-11,-175.9814403195918,162.76417096017718,-377.7750346521896
1.6363134909860675e-08,5.940012178954998e-09,-6.4973347688713334e-09,4.474099009764702e-09,2,6.639501533923467e-21,1.6363134909860675e-08,5.940012178954998e-09,-6.4973347688713334e-09,8e-11,-175.9814403195918,162.76417096017718,-377.7750346521896
1.4603320506664758e-08,7.56765388855677e-09,-1.0275085115393229e-08,4.474099009764702e-09,2,6.639501533923467e-21,1.4603320506664758e-08,7.56765388855677e-09,-1.0275085115393229e-08,9e-11,-175.9814403195918,162.76417096017718,-377.7750346521896
1.284350610346884e-08,9.195295598158541e-09,-1.4052835461915125e-08,4.474099009764702e-09,2,6.639501533923467e-21,1.284350610346884e-08,9.195295598158541e-09,-1.4052835461915125e-08,9.999999999999999e-11,-175.9814403195918,162.76417096017718,-377.7750346521896
1.1083691700272923e-08,1.0822937307760313e-08,-1.783058580843702e-08,4.474099009764702e-09,4,6.639501533923467e-21,1.1083691700272923e-08,1.0822937307760313e-08,-1.783058580843702e-08,1.1e-10,26.780073867729328,-288.01614713406747,126.76749713484546
1.1351492438950216e-08,7.942775836419639e-09,-1.6562910837088567e-08,3.158171491482799e-09,4,3.308230125637393e-21,1.1351492438950216e-08,7.942775836419639e-09,-1.6562910837088567e-08,1.2e-10,26.780073867729328,-288.01614713406747,126.76749713484546
1.161929317762751e-08,5.062614365078965e-09,-1.529523586574011e-08,3.158171491482799e-09,4,3.308230125637393e-21,1.161929317762751e-08,5.062614365078965e-09,-1.529523586574011e-08,1.3e-10,26.780073867729328,-288.01614713406747,126.76749713484546
