ENDF/B-VII.1 Neutron Spectra: 92-U-235(n,total fission)
Incident Neutron Energy: 1.000000E-5 eV
                           
                           
Outgoing Energy (eV)    Energy distr. of sec. part. (b/eV)
0.000E0     0.000E0
1.000E1     3.867E-5
1.100E1     4.056E-5
1.200E1     4.237E-5
1.300E1     4.410E-5
1.400E1     4.576E-5
1.500E1     4.737E-5
1.600E1     4.892E-5
1.700E1     5.042E-5
1.800E1     5.189E-5
1.900E1     5.331E-5
2.000E1     5.469E-5
2.100E1     5.604E-5
2.200E1     5.736E-5
2.300E1     5.865E-5
2.400E1     5.991E-5
2.500E1     6.115E-5
2.600E1     6.236E-5
2.700E1     6.355E-5
2.800E1     6.471E-5
2.900E1     6.586E-5
3.000E1     6.698E-5
3.100E1     6.809E-5
3.200E1     6.918E-5
3.300E1     7.025E-5
3.400E1     7.131E-5
3.500E1     7.235E-5
3.600E1     7.338E-5
3.700E1     7.439E-5
3.800E1     7.539E-5
3.900E1     7.637E-5
4.000E1     7.735E-5
4.100E1     7.831E-5
4.200E1     7.926E-5
4.300E1     8.020E-5
4.400E1     8.112E-5
4.500E1     8.204E-5
4.600E1     8.295E-5
4.700E1     8.384E-5
4.800E1     8.473E-5
4.900E1     8.561E-5
5.000E1     8.648E-5
5.100E1     8.734E-5
5.200E1     8.819E-5
5.300E1     8.903E-5
5.400E1     8.987E-5
5.500E1     9.070E-5
5.600E1     9.152E-5
5.700E1     9.233E-5
5.800E1     9.314E-5
5.900E1     9.394E-5
6.000E1     9.473E-5
6.100E1     9.552E-5
6.200E1     9.630E-5
6.300E1     9.707E-5
6.400E1     9.784E-5
6.500E1     9.860E-5
6.600E1     9.935E-5
6.700E1     1.001E-4
6.800E1     1.008E-4
6.900E1     1.016E-4
7.000E1     1.023E-4
7.100E1     1.030E-4
7.200E1     1.038E-4
7.300E1     1.045E-4
7.400E1     1.052E-4
7.500E1     1.059E-4
7.600E1     1.066E-4
7.700E1     1.073E-4
7.800E1     1.080E-4
7.900E1     1.087E-4
8.000E1     1.094E-4
8.100E1     1.101E-4
8.200E1     1.107E-4
8.300E1     1.114E-4
8.400E1     1.121E-4
8.500E1     1.128E-4
8.600E1     1.134E-4
8.700E1     1.141E-4
8.800E1     1.147E-4
8.900E1     1.154E-4
9.000E1     1.160E-4
9.100E1     1.167E-4
9.200E1     1.173E-4
9.300E1     1.179E-4
9.400E1     1.186E-4
